Item,2022 $m,2022 Margin bps,2021 $m (Actual),2021 Margin bps (Actual),2021 $m (Constant),2021 Margin bps (Constant)
Spread income,307,72.0,312,66.0,299,65.0
Fee income,331,102.0,345,103.0,329,103.0
With-profits,160,20.0,135,16.0,133,16.0
Insurance margin,3219,,2897,,2795,
Other income,3429,,3239,,3105,
Total life insurance income,7446,,6928,,6661,
Acquisition costs,-2346,-53.0,-2085,-50.0,-2000,-50.0
Administration expenses,-1732,-230.0,-1656,-205.0,-1581,-201.0
DAC adjustments,554,,566,,545,
Share of JV/associate tax,-76,,-44,,-42,
Pre-tax adjusted operating profit,3846,,3709,,3583,
