Item,2022 $m,2021 $m (Actual),Change % (Actual),2021 $m (Constant),Change % (Constant)
Expected transfer from in-force & return on free surplus,2753,2497,10.0,2408.0,14.0
Operating assumptions & experience variances,-227,-173,-31.0,-158.0,-44.0
Operating free surplus from LT business before restructuring,2526,2324,9.0,2249.0,12.0
Investment in new business,-567,-537,-6.0,-516.0,-10.0
Asset management,234,284,-18.0,271.0,-14.0
Operating free surplus from life & AM before restructuring,2193,2071,6.0,2004.0,9.0
Net interest paid on core structural borrowings,-200,-328,39.0,-328.0,39.0
Corporate expenditure,-276,-292,5.0,-261.0,-6.0
Other items and eliminations,-66,-103,36.0,-118.0,44.0
Restructuring and IFRS 17 implementation costs,-277,-169,-64.0,-162.0,-71.0
Net Group operating free surplus generated,1374,1179,17.0,1135.0,21.0
Non-operating and other movements incl FX,-2367,330,,,
External cash dividends,-474,-421,,,
Share capital issued,-4,2382,,,
