id,text,label,confidence,page,section
chunk_146,". We continue to develop new and innovative growth34. It has a public target of doubling the number of Malaysians propositions to address the evolving needs of our customers. insured under Takaful policy certificates by 2026 through providing financial incentives for the purchasing of private insurance policies34. For example, we strengthened our health and protection offering by enhancing our core medical investment-linked proposition, In Malaysia, we are the leading life insurer with 18.9 per cent market which caters for both new and existing customers. We believe that share29, and we have one of the largest agency forces in the industry",market,0.6,27,General
chunk_24,". Claudia Suessmuth growth and high potential markets, we are investing to have better Dyckerhoff, who joined in January 2023. They bring extensive insight into our customers and meet their needs, enhancing our knowledge and experience of insurance, health and technology, as well multi-channel distribution capabilities, and embedding technology as market experience in China and India. In the course of 2022, we to enhance the experience and delivery of our products and services. announced that Philip Remnant, who joined the Board in 2013, and Tom Watjen, who joined in 2017, will step down at the end of the 2023 With our leadership and operating geographies now fully aligned, we AGM in May",leadership,1.0,7,Leadership - Chair's Statement
chunk_13,". pace of our transformation continued. We faced a challenging external The Board has approved a 2022 second interim cash dividend of environment, with continued macroeconomic and geopolitical 13.04 cents per share (2021: 11.86 cents per share). Combined with the headwinds, some, such as higher food and energy prices exacerbated first interim cash dividend of 5.74 cents per share (2021: 5.37 cents per by the war in Ukraine, others by longer-term dynamics and emerging share), the Groups total 2022 cash dividend is 18.78 cents per share trends. There are important differentiating factors between our (2021: 17.23 cents per share), an increase of nine per cent. markets in Asia and Africa, but generally inflation continues to put pressure on the cost-of-living for individuals and families",leadership,0.8,6,Leadership - Chair's Statement
chunk_557,". Materiality matrix High Workplace health and Responsible safety Inclusive Customer investment Responsible products satisfaction environmental and services Fair treatment practices of customers Privacy and data protection Climate Digital health d T e r v a e in lo in p g m a e n n d t F lit in e a ra n c c y ial change innovation Ethics and responsible Influence on business practices Employment, Diversity, stakeholder recruitment inclusion and assessments and rewards belonging Corporate and decisions governance Community engagement Responsible and investment procurement practices Volunteerism Labour rights Anti-bribery and corruption Biodiversity and nature-based considerations Emerging Emerging Significance of Prudentials economic",esg,1.0,75,General
chunk_1080,"C Financial position / continued C1 Group assets and liabilities by business type continued Notes (i) With-profits comprises the with-profits assets and liabilities of the Hong Kong, Malaysia and Singapore operations. Unit-linked comprises the assets and liabilities held in the unit-linked funds. Other includes assets and liabilities of other participating business and other non-linked shareholder-backed business. (ii) Of the Groups debt securities, the following amounts were held by the consolidated investment funds. 31 Dec 2022 31 Dec 2021 $m $m Debt securities held by consolidated investment funds 11,899 15,076 (iii) Other financial investments comprise derivative assets and deposits",operations,1.0,316,General
chunk_73,". For example, our customer segmentation has growth strategy and to enhance our operating model to keep pace identified a clear opportunity in further expanding our offering in with our opportunities. the family segment leading to the launch of the innovative WE DO Family proposition in 2022. Through the application of a We have strong franchises and operational expertise in both the data-driven approach, this proposition helps us identify the needs more developed markets and developing markets in Asia and Africa. of our customers based on their life events and individual We continue to build on our success in the Chinese Mainland where circumstances, helping us to tailor our offerings and build lifelong we see substantial opportunity to deepen our presence across a relationships",strategy,1.0,20,Strategic Report - Strategy
chunk_399,". The Groups Risk arise indirectly through policyholder exposures and third-party Factor disclosures can be found at the end of this document. Risks to the Groups financial situation (including those from the external macroeconomic and geopolitical environment) The global economic and geopolitical environment may impact on the Group directly by affecting trends in financial markets and asset values, as well as driving short-term volatility. Risks in this category include the market risks to our investments and the credit quality of our investment portfolio as well as liquidity risk",risk,1.0,56,Risk Management
chunk_410,". include CPLs exposure to equity risk through investments in equity When this duration mismatch is not eliminated, it is monitored assets for most of its products, including participating and non- and managed through local risk and asset liability management participating savings products and protection and investment-linked committees and Group risk limits consistent with the Groups products. The Hong Kong business and, to a lesser extent, the appetite for interest rate risk. Singapore business contribute to the Groups equity risk exposure due to the equity assets backing participating products",risk,1.0,57,Risk Management
chunk_574,". In 2022, the Group ESG include consideration of how the matter requiring approval supports Committee reported to the Board through the RSWG. Further and/or impacts the Groups ESG strategy, including setting and information on the governance and oversight of our responsible overseeing major capital expenditures, acquisitions, and divestitures. investment activity is provided in the Group responsible investment Group overview remuneration report Financial statements European Embedded Value (EEV) basis results Additional information Strategic report",esg,1.0,77,Sustainability & ESG
chunk_566,". committees met during 2022. In recent years, the Board has included ESG in the strategic priorities In addition to regular course discussion, to further enhance strategic for the Groups Executive Directors by way of a specific objective to Board-level discussions on climate, a dedicated climate deep dive drive the climate and responsible investment focus across the session was held with the Board in September 2022. Following organisation, both as an asset owner and an asset manager, through discussions at the Board on our approach to climate change, the embedding the external ESG commitments made in May 2021",esg,1.0,77,Sustainability & ESG
chunk_46,"Our strategy How we drive value for all stakeholders Q What is driving Q What is our strategy? our business today? A Our strategy is enacted A Our purpose is to under three key areas: help people get the most out of life: Delivering We want to make healthcare  Growing our savings and affordable and accessible, and protection business by promote financial inclusion. protecting our customers health and wellbeing. We seek to protect peoples wealth, and help them to grow their assets  Focusing on the growth and save for their goals. opportunities in the Chinese Mainland, India, and South- We deliver our purpose by east Asia. following these key Principles:  Positioning Eastspring to be a leading responsible investor  We put customers first in Asia",strategy,1.0,14,Strategic Report - Strategy
chunk_243,"Financial review / continued The Group aligns its capital adequacy requirements with the With effect from 1 January 2023, IFRS 17, the new accounting established EEV and free surplus framework by comparing the total standard for insurance contracts that replaces IFRS 4, becomes eligible Group capital resources with the Groups Prescribed Capital effective and the Groups IFRS reporting will be prepared on this basis Requirement (GPCR) and this is explained further in the capital from half year 2023. While this is an important step for the Group and management section below",financial,1.0,38,Financial Review
chunk_52,". SEE OUR KEY PERFORMANCE SEE OUR REMUNERATION INDICATORS PAGE 32 REPORT PAGE 226 Group overview remuneration report Financial statements European Embedded Value (EEV) basis results Additional information Strategic report Operating free surplus generated1 2022 2,193 2018 1,564 $m 0 500 1,000 1,500 2,000 2,500 EEV shareholders equity1 2022 42.2 2018 27.4 $bn 0 10 20 30 40 50 Carbon emissions (WACI) 2022 219 2019 386 0 100 200 300 400 500",strategy,1.0,15,Strategic Report - KPIs
chunk_980,". B1.2 Determining operating segments and performance measure of operating segments Operating segments The Groups operating and reported segments for financial reporting purposes are defined and presented in accordance with IFRS 8 Operating Segments on the basis of the management reporting structure and its financial management information. Under the Groups management and reporting structure, its chief operating decision maker is the Group Executive Committee (GEC), chaired by the Chief Executive Officer. Performance measures for insurance operations are analysed by geographical areas for the larger business units of CPL, Hong Kong, Indonesia, Malaysia and Singapore, with Eastspring, the asset management business, also analysed separately",operations,1.0,300,General
chunk_47,". following these key Principles:  Positioning Eastspring to be a leading responsible investor  We put customers first in Asia. Delivering  We act with integrity  Supporting sustainable  We embrace a growth profitable growth through our inclusive mindset approach to climate transition. growth  We invest in all our and social communities Digitalising impact  We take the long view  Accelerating our digitally- enabled model of distribution.  Improving customer servicing.  Strengthening our direct digital insurance product suite.  Entering strategic digital partnerships. Humanising  Upskilling our people, agents and partner advisers.  Providing inclusive offerings for all segments.  Ensuring our working environment is inclusive and promotes belonging",strategy,1.0,14,Strategic Report - Strategy
chunk_147,". We believe that share29, and we have one of the largest agency forces in the industry. its benefits offering is unique and supports customers needs by We are the largest Takaful operator in the market with 22.3 per cent providing medical protection that automatically increases in value market share29 and our Takaful new business sales are 1.4 times every year, unlimited room and board and ICU stay, and longer pre greater versus our nearest competitor in this market35. and post-hospitalisation care. It also rewards customers for staying New business performance during 2022 healthy. The benefits are designed to reinforce the importance of APE sales declined (17) per cent10 due to both the combined impact early intervention and consistent annual preventive care",market,0.6,27,General
chunk_1046,. B3.1 Total tax charge by nature The total tax charge in the income statement is as follows: 2022 $m 2021 $m Attributable to shareholders: Hong Kong (52) (40) Indonesia (60) (74) Malaysia (90) (71) Singapore (78) (67) Growth markets and other (144) (159) Eastspring (26) (30) Total segment (450) (441) Unallocated to a segment (central operations) (4) (21) Tax charge attributable to shareholders (454) (462) Attributable to policyholders: Hong Kong (56) (79) Indonesia (5) 4 Malaysia – (2) Singapore 44 (261) Growth markets and other (4) (4) Tax charge attributable to policyholders (21) (342) Total tax charge (475) (804) Profit before tax includes Prudentials share of profit after tax from the joint ventures and associates that are equity-accounted for,operations,1.0,308,General
chunk_86,". As the advice. Our multi-channel and integrated distribution strategy impact of Covid-19 subsides and agency activity resumes, we expect enables us to adapt flexibly to changing local market conditions in the agency contribution to new business profit to increase while order to deliver products and services to targeted consumer segments maintaining the diversified distribution mix in line with our strategy. and support our growth ambitions. This distribution network encompasses agency and bancassurance partnerships with a digital platform. Historically, agency contributed around 80 per cent of our overall new business profit in 2019. Asian and African insurance market distribution dynamics have been significantly affected by Covid-19-related restrictions",strategy,1.0,21,Strategic Report - Strategy
